,Regressive.1,Regressive.2,Regressive.3,Regressive.4,Regressive.5,Regressive.6,Regressive.7,Regressive.8,Regressive.9,Regressive.10,Regressive.11,Regressive.12,Regressive.13,Regressive.14,Regressive.15,Regressive.16,Progressive.2,Progressive.3,Progressive.4,Progressive.5,Progressive.6,Progressive.7,Progressive.8,Progressive.9,Progressive.10,Progressive.11,Progressive.12,Progressive.13,Progressive.14,Progressive.15,Progressive.16,Progressive.17,Progressive.20,Sample_51.Affy,Sample_52.Affy,Sample_57.Affy,Sample_58.Affy,Sample_59.Affy,Sample_62.Affy,Sample_63.Affy,Sample_64.Affy,Sample_34.Affy,Sample_35.Affy,Sample_36.Affy,Sample_37.Affy,Sample_38.Affy,Sample_39.Affy,Sample_40.Affy,Sample_41.Affy,Sample_42.Affy,Sample_46.Affy
CYP2E1,6.955775,7.085291,7.040075,8.017715,7.517659,7.125436,7.167375,8.044752,7.99926,7.539203,7.512705,7.504392,7.465288,7.173614,6.925717,6.944798,6.49039,6.815775,6.935548,7.273454,6.544419,6.902875,6.982757,6.698623,7.120102,5.75055,5.558105,6.205235,6.254862,7.060845,7.097781,6.35948,7.138656,7.163456234,7.854499349,7.194262751,7.188693234,7.200720559,7.26094386,7.713025144,7.558131681,6.15097971,6.42957798,6.593135155,6.965172963,6.454838621,7.437113985,6.799733443,7.117040337,6.385550152,6.67911887
IFNA21,5.406687,6.374677,6.201049,5.637496,5.423926,6.912717,5.834766,5.629337,5.523983,6.771235,5.362274,5.161342,5.560974,5.546218,5.670757,6.773412,4.869814,4.899358,5.073921,5.692228,4.913219,4.815718,5.287914,4.776085,5.088879,4.904269,4.68287,5.158938,4.857354,5.151956,5.123333,4.974286,5.259483,5.864990881,6.414378185,5.342522203,5.556898479,5.510145582,5.366743563,5.53208794,5.702680795,5.116087908,5.322789567,5.239509039,5.174196878,5.147665903,5.301385745,5.189443338,5.446215726,4.833037941,5.782543219
LHX6,6.332291,6.550469,6.41544,6.559717,6.207401,6.87643,6.521581,6.421148,6.488038,6.940094,6.062553,6.3089,6.208958,6.40299,6.296544,7.193731,6.112394,6.087409,5.850156,6.482272,6.46389,5.96281,5.548139,5.927932,5.42097,6.113556,5.250141,6.009698,6.43753,6.048,5.896519,6.409392,6.347047,6.771093128,6.586744328,6.400537533,6.43235187,6.740283325,6.434467875,6.862925162,6.490153203,6.140457558,6.000829859,6.054719606,5.776673341,5.776348362,5.890553334,5.724515187,6.247946184,5.677977199,6.49329932
CSH1,4.904378,5.427712,5.400845,5.213503,4.984151,5.390138,5.023714,5.275869,5.313893,5.60313,4.999621,4.974133,5.064681,5.135954,5.161856,5.416494,4.881612,5.016511,5.0469,5.273007,4.761418,4.764169,4.943903,4.972153,4.770598,4.865377,4.898713,4.652308,4.705928,5.092299,5.021804,4.795022,4.895047,4.985138718,5.537363257,5.396689751,5.207146902,5.38231254,4.846805224,5.343359598,5.197645598,4.842450693,4.844603601,4.801105275,5.112348347,4.917091435,4.942276683,4.800609332,5.051130981,4.886543118,4.82367794
SNORD117,7.809314,7.590346,7.691947,6.902246,7.755765,7.307806,7.810983,7.02249,7.046854,7.985833,7.687324,7.765859,7.114998,7.404234,7.423221,7.122947,8.572206,7.833865,7.526685,8.253686,8.198537,8.295876,8.025601,7.638051,8.048557,8.237064,7.383979,7.62517,8.112651,7.79425,7.844994,7.65281,7.76579,7.114834148,7.465360703,7.687325094,7.6903171,6.993790605,7.438567279,6.823149624,7.534773446,8.181625613,8.192928542,8.148522272,7.659339407,7.987961252,7.869336266,8.21019988,7.915935536,8.119296184,7.734708874
RHCG,7.455103,7.732123,7.638274,8.840093,7.134099,7.003026,7.480342,8.776881,8.764883,6.990638,6.909536,7.093636,7.999922,7.102244,7.32198,6.813793,5.368936,5.157728,5.239345,5.425673,6.713837,7.719244,5.14797,5.310701,5.162354,4.880136,5.036727,5.621528,6.795235,6.588691,6.465914,7.277719,6.362234,6.936192591,6.784564342,7.681657318,7.083472008,7.095158304,6.680882194,6.840110359,6.74553179,5.825465604,5.980542912,6.815538065,6.214783817,6.018463425,6.889641331,6.578416675,6.898036298,6.570511035,7.169264738
CCT6P1,6.030351,5.719769,5.744348,5.907368,5.825196,5.660702,5.610237,5.922404,5.946296,5.538081,5.868999,5.629726,5.481237,5.912469,5.786088,5.381076,6.292683,6.412748,6.202153,6.696929,5.860198,5.841086,6.288814,6.121613,6.28792,5.891164,6.097379,5.854128,6.183478,5.850042,5.940687,6.118494,5.858497,5.643993718,5.540395177,5.845006721,5.613146151,5.753099155,5.621316446,5.814198262,5.848406717,6.266556478,6.250055527,6.334164737,5.900641195,6.524562422,6.023795322,6.084190489,5.745015186,6.249593875,5.720858395
KLK5,6.87762,5.855752,5.525919,7.877984,5.726908,6.754421,5.909087,7.884559,7.74552,5.19281,5.940686,5.691936,6.715347,6.683662,7.076407,6.732349,4.798345,4.871949,4.81743,4.916337,5.043618,5.606925,4.752348,4.776823,4.752253,4.773368,4.813388,5.870861,4.830993,4.67503,4.850536,6.190497,4.74685,5.365353186,6.25809326,6.20578915,6.591457482,5.44049456,5.880980235,5.861452502,5.951094579,5.697474129,5.33868239,5.176943397,5.869324566,5.0809223,5.636787287,6.459882395,5.726586607,5.398097001,5.387888891
ABCC5,7.702105,8.251707,8.257763,7.930375,8.169803,7.885265,8.158358,7.883206,7.923809,7.391159,8.223048,8.129789,7.709534,7.231889,7.350849,7.64791,8.696445,8.474133,8.346831,8.086046,8.041847,8.029011,8.461025,8.337845,8.475624,8.653647,7.33189,8.250026,8.089876,8.398544,8.484626,8.381672,8.442878,7.740582712,7.880351147,7.489420055,7.733404227,7.75785416,7.458464664,7.868570722,8.001213028,8.520242881,8.49353902,8.437570908,8.585960223,8.389566662,8.184307808,8.421599629,8.383409598,8.306751087,7.894370354
OR14J1,6.032821,5.60921,5.747189,5.509238,4.890759,6.691203,6.486117,5.746882,5.558647,6.290096,5.183298,5.286598,5.548295,6.196486,5.575375,6.783647,4.865403,4.918,5.238571,4.707675,5.216569,4.857816,5.187094,4.736833,4.701725,4.816286,4.715112,5.043439,6.05891,4.64161,4.8942,5.189092,5.055118,5.917664865,6.022476109,5.333554641,5.785027037,6.078215951,5.059659339,5.489432843,5.463034014,5.192153803,5.403951769,5.280999931,5.194733784,5.284219783,5.603670031,5.054832835,4.797095406,4.999780103,5.151708904
CDC42EP4,9.074438,8.57698,8.512443,9.001206,8.902071,8.609127,8.573726,8.990815,8.990815,8.906349,8.779108,8.763429,8.971947,8.810251,8.799486,8.530411,8.450819,8.477271,8.604276,8.730939,8.270363,8.288664,8.455606,8.454433,8.483673,8.598042,8.279169,8.66371,8.548697,8.752843,8.751156,8.51932,8.719345,8.988036687,9.007659412,8.910158574,8.70773419,8.751330238,8.751755176,9.013923637,8.67717164,8.358910496,8.32573504,8.425284133,8.40442584,8.473532911,8.681655572,8.451502288,8.846720135,8.491079284,8.592869691
SP3,6.121423,6.165575,6.488626,6.154955,6.253743,6.102915,6.456918,5.969997,5.993482,6.683092,6.233922,6.126449,5.668056,5.916655,5.979013,5.490806,7.2528,6.394359,6.896411,6.893058,6.256557,6.608609,6.572316,6.899743,6.655622,6.377291,6.683961,6.347873,6.975162,6.296935,6.246856,6.307107,6.243601,6.020578961,5.972708034,6.132384559,6.005851003,6.048797331,6.237509546,5.668666765,6.345909055,6.778715357,7.164521483,6.87797439,6.409391493,6.655362556,6.419372876,6.719463876,6.100763357,6.738070572,6.181676124
TCEB3CL,5.066779,5.827117,5.904026,5.993073,5.80756,6.543363,5.971078,5.955653,6.048087,6.507956,5.398937,5.62484,5.651085,5.742023,5.110652,6.493125,6.201259,4.777668,4.973202,4.998263,4.941657,5.412225,4.773468,5.000923,4.915816,5.000015,4.761868,4.982013,6.399659,5.31511,5.407249,5.069543,5.122122,5.822777943,6.158164904,5.807600278,5.568823292,5.799819498,6.189144448,5.975212153,5.807128016,5.071587876,5.157096701,4.712058268,4.809954068,4.971943721,5.354224075,5.825734227,5.592168442,5.315789419,5.234159839
XIAP,5.265389,4.966489,4.965494,4.936723,4.978993,4.971489,4.975305,4.921698,5.032,4.96293,5.158993,5.102514,4.969801,5.184499,5.369643,4.953691,5.230686,5.189777,5.299368,5.342614,5.372844,5.336977,5.16184,5.41578,5.275749,5.374354,5.467507,5.259272,5.252902,5.238043,5.282958,5.085275,5.201877,4.968025348,5.162362343,5.037759629,5.062230736,5.021241126,5.042360992,4.998169767,5.113335987,5.143005551,5.41873381,5.16515293,5.153209662,5.595370963,5.266064352,5.240821271,4.948925769,5.390689571,5.235026334
NME3,8.046455,7.770363,7.885736,7.564246,7.956618,8.175794,7.809737,7.571428,7.573718,6.876566,7.958823,7.876088,7.93528,7.541263,7.609184,7.997876,7.440551,7.078537,6.896359,7.003589,7.405568,7.41347,7.042315,6.548997,6.849944,7.251975,6.070846,7.017444,8.064197,7.342297,7.514034,7.176063,7.475119,8.034829325,8.243487501,7.772456759,7.482038574,8.272131357,7.729954681,7.077885683,7.61408884,7.269914792,7.205541826,7.271370511,6.875986418,7.357355669,7.485842553,6.857129392,7.378027187,7.267620047,6.871870363
COX5B,8.196074,8.08607,8.11936,7.793806,8.084785,8.320247,8.067592,7.853555,7.827181,7.882923,8.112476,7.944349,7.781113,7.953631,7.955881,8.402184,8.485874,8.44287,8.268633,8.61089,8.561196,8.698442,8.287038,8.321143,8.422561,8.635078,8.24765,8.214248,8.740973,8.245135,8.276587,8.343387,8.329486,7.714342209,7.925658496,8.275907018,8.051810545,8.424826782,7.924828075,8.275678091,8.007586694,8.212896362,8.435458197,8.526314918,8.824645961,8.497337464,8.266214569,8.111593556,8.08072792,8.520064044,7.998875031
