,Regressive.1,Regressive.2,Regressive.3,Regressive.4,Regressive.5,Regressive.6,Regressive.7,Regressive.8,Regressive.9,Regressive.10,Regressive.11,Regressive.12,Regressive.13,Regressive.14,Regressive.15,Regressive.16,Progressive.2,Progressive.3,Progressive.4,Progressive.5,Progressive.6,Progressive.7,Progressive.8,Progressive.9,Progressive.10,Progressive.11,Progressive.12,Progressive.13,Progressive.14,Progressive.15,Progressive.16,Progressive.17,Progressive.20,Sample_51.Affy,Sample_52.Affy,Sample_57.Affy,Sample_58.Affy,Sample_59.Affy,Sample_62.Affy,Sample_63.Affy,Sample_64.Affy,Sample_34.Affy,Sample_35.Affy,Sample_36.Affy,Sample_37.Affy,Sample_38.Affy,Sample_39.Affy,Sample_40.Affy,Sample_41.Affy,Sample_42.Affy,Sample_46.Affy
KLK6,7.536271,5.380139,5.638855,8.312322,6.827608,5.58497,5.179755,8.372431,8.449449,6.588468,7.152209,7.016758,7.258702,7.220044,7.415722,6.088804,4.883672,4.764721,5.127035,5.008361,5.462902,5.796211,4.766654,4.868337,4.735535,4.80281,4.753079,5.338218,4.796835,5.570503,5.095211,6.519115,4.766593,5.894614694,6.524194838,7.364309313,6.320027014,6.173013228,5.928908647,6.190369832,6.47691736,5.682028777,5.505255334,5.384410388,5.19349707,5.645247481,6.239595182,5.456504485,5.783060831,6.505348738,5.334146029
C1QTNF1,6.779215,7.000934,6.963233,6.562885,6.933163,6.99726,6.955555,6.542147,6.495775,7.380621,6.874133,6.956579,6.851754,6.342404,6.66043,6.794082,5.175827,5.794779,6.422324,6.622839,6.959357,6.593575,5.524679,6.476665,5.711972,6.013329,6.251667,6.129149,5.876797,6.151754,6.208353,6.519868,6.313526,6.825937908,6.702384839,6.83159523,6.85344429,6.370753105,7.056485086,7.031904225,6.493142398,6.116226355,6.038020909,6.397720747,5.932292627,6.118431512,6.227923444,6.297868756,6.265598212,6.29567744,6.824416082
TFAP4,5.473829,5.116321,5.512592,5.547068,5.167253,5.188383,5.318157,5.471159,5.502533,5.264786,5.166484,5.175939,5.358238,5.250628,5.710011,5.383675,6.07325,5.833174,6.403503,6.354927,5.525804,5.240514,6.025394,6.31908,5.993327,5.497355,6.475863,5.999167,6.043961,6.288163,6.200095,5.853882,6.239049,5.621518399,4.888337568,5.309299007,5.462119205,5.419744148,6.052939561,5.271149086,5.793608208,5.894939757,5.971978483,5.511195575,6.327299143,6.283751424,5.517169055,5.320784513,5.790520318,5.813550241,6.311726952
G6PC,5.954532,5.996452,6.409602,5.831908,5.43613,6.740712,6.427732,5.851139,5.808959,7.065984,5.518321,5.598268,5.681251,5.048647,6.177502,6.65608,5.56962,5.24594,4.913363,5.982491,4.833481,5.321807,4.965127,5.423696,4.939344,4.819833,5.126047,4.722986,5.40084,4.987073,5.05723,5.474454,4.782758,6.283622972,6.441370079,5.688987525,5.682174456,5.984978438,5.878751143,5.68353877,5.313868767,5.279820893,4.835256378,5.302314257,5.549192547,5.467043484,5.568102097,5.61276356,5.375002513,5.174860632,5.157027906
NCCRP1,8.376019,8.950186,9.00569,9.568063,8.336896,8.351583,8.957331,9.514393,9.527624,7.958102,8.315359,8.346923,8.916972,8.141518,8.281507,8.172322,9.126411,5.681427,5.972646,6.441145,7.7545,8.987267,5.797829,5.993748,5.907854,9.264679,5.366801,6.078283,6.422572,5.658206,5.75016,7.424946,5.766307,7.273741248,7.88884933,8.184552273,8.121321283,8.116258486,8.94898161,8.812976848,8.353075155,6.564101145,6.480826537,7.094903547,7.042313786,6.908566561,7.234576015,7.69830222,8.108364547,7.051333048,7.752465586
PSAT1,7.598073,6.975091,7.097881,7.181026,7.176056,6.088634,6.877967,7.18551,7.16524,6.256199,7.288427,7.286273,7.136833,7.569084,7.309746,6.693083,8.027529,7.477743,7.978044,7.878502,7.564508,7.894949,7.11768,7.971844,7.188807,8.206953,7.934041,7.933982,8.022693,7.45135,7.315837,7.58564,7.263256,6.860436181,7.321229985,7.025096056,6.978826752,7.093435023,6.944714801,6.907756778,6.925902321,7.273625137,7.630057747,7.817369938,8.353948505,8.378579946,7.562015125,7.3227598,7.26865923,7.833614168,7.47572857
OR5B3,6.585178,5.994071,6.11429,6.15213,5.483977,6.671371,5.985277,6.035352,6.174927,6.438461,5.574034,6.03833,6.00907,6.265962,4.782406,6.425076,6.0235,4.993055,4.824915,4.772425,5.631258,4.860515,4.72677,4.818083,4.760905,4.745203,4.581094,5.289047,4.773915,5.063942,4.736756,4.746074,5.199319,6.099325652,5.325926017,5.795623962,5.049481655,5.901064995,6.22923257,5.801514816,5.173965592,4.853269205,5.452631691,5.256521586,5.41948341,5.233569204,5.913405632,5.324115472,5.853850163,4.991110937,5.245621398
PLEKHH3,6.427608,6.484632,6.573293,8.154171,7.270614,6.911277,6.409281,8.034093,8.031242,6.628038,7.434668,7.398645,7.420149,6.32612,6.356034,6.762299,6.307752,6.091206,6.249468,5.640216,6.736588,6.803454,6.226332,6.361932,6.243062,7.031149,6.134354,5.998597,5.678115,6.265658,6.222682,6.327887,6.316279,7.045406007,7.202275385,7.086383511,7.465683752,7.45461988,6.940318306,7.122235368,6.8816323,5.832275453,6.142939244,6.425768585,6.135131381,5.999545063,6.524787053,5.750651611,6.797529517,6.265847086,6.585209424
CDCA7L,6.904302,7.127053,7.006944,6.670754,7.362692,6.213491,7.078537,6.823968,6.800294,6.988092,7.089973,7.194419,6.421433,6.728906,6.671422,6.20779,7.414372,8.372249,8.162673,7.897238,6.99517,6.987665,8.281075,8.154421,8.239794,7.24224,7.358622,7.475119,6.991242,6.85723,7.043302,7.379007,7.096499,6.791261071,6.249100438,6.554718226,6.682949777,6.570738381,7.403107275,6.509007899,6.984847076,7.921012135,8.073886234,7.588342942,7.465613339,7.724626989,7.468293606,7.564929646,7.17909825,7.776928668,6.954515842
LOC440313,5.977752,5.473958,6.219636,6.303865,5.293696,6.251616,6.401644,6.21484,6.031614,6.415373,5.041965,5.48252,5.88613,5.226518,5.462264,6.601219,4.793745,4.824101,5.160322,5.863944,4.769838,5.318285,4.782732,5.156071,4.837797,4.785617,4.892046,4.70362,4.692008,5.131036,4.61993,4.719676,5.390654,5.411056133,6.015274222,5.042565491,6.098294833,6.179116582,5.47185344,5.555286232,5.567737498,5.269263952,5.009754992,4.929519122,4.806342836,5.221934643,5.495562495,5.355712853,6.062317694,5.282638961,4.760950578
KIAA1324L,5.22845,5.397265,5.478711,5.70923,5.580935,5.027404,5.154668,5.765092,5.725063,5.273096,5.504793,5.548573,5.042936,4.838342,5.106859,4.943427,6.185883,5.708749,6.182862,6.140863,5.728178,6.00397,6.183799,6.186819,6.053436,6.002357,5.111724,5.40182,5.87399,5.4688,5.484675,6.006996,5.491866,5.08337947,5.114869775,5.506113921,4.945662753,5.071090163,5.491394738,5.503651034,5.384291079,6.078470653,6.145900609,6.031101936,5.460104685,6.047938099,5.600854483,5.910452423,5.416068357,5.996733491,5.914224839
SMYD3,4.761963,5.781414,6.120277,6.070095,6.784644,5.95578,6.090797,6.106062,6.209488,5.921005,6.662499,6.720984,6.276571,6.123482,5.526625,5.846985,6.858599,7.032219,6.924223,6.678114,6.886942,6.611923,6.532493,7.039754,6.457656,6.678114,7.49102,7.080507,7.172686,7.168504,7.017243,6.810776,7.013053,7.138964757,5.842516263,6.243609223,6.356710891,6.112133903,6.193720214,5.962565547,6.051880595,6.929813254,7.620890213,6.66383182,6.516097328,6.518833436,6.457879216,6.441552953,6.434536358,7.121785183,6.383833279
CXXC5,7.252724,7.541827,7.39556,7.885784,7.686597,7.680748,7.488061,7.829491,7.92369,7.836894,7.717304,7.614706,7.652798,7.064878,7.396939,7.580264,7.174222,7.140813,6.550238,6.050997,7.198023,6.057374,7.038073,6.470641,7.177612,7.389678,7.01487,7.419847,6.89115,7.146142,7.040268,6.620809,7.112216,7.898651177,7.268154329,6.974894506,7.325789415,7.555194313,7.704098801,8.419728081,7.093427877,6.982986402,6.920726487,6.8685901,6.891261052,7.032797136,7.049138629,6.961762945,7.544303745,6.69685115,7.245109838
HTR2A,5.601099,7.493425,7.653876,6.895323,6.511832,7.785476,7.383909,6.80015,6.807704,7.992086,6.663569,6.66659,6.87096,6.681237,5.967141,8.000386,6.794392,5.685888,6.041059,5.076498,6.514151,6.199153,5.654974,6.122831,5.595797,5.112315,5.395166,5.79089,4.915962,6.276832,6.280476,6.258566,5.784442,7.509082712,7.006128482,6.165117872,6.630820296,6.343816059,6.574964964,7.800807268,6.539438415,6.021765011,6.119629578,6.260499029,5.914498223,6.16478063,6.531258998,5.521496067,5.896271404,6.23212127,6.076148813
GFRA4,5.246932,5.298965,4.939673,5.428049,4.948292,5.676411,5.471278,5.402976,5.571893,5.015975,4.940594,4.970557,4.75993,4.895285,4.820428,5.041999,4.777913,4.808845,4.809209,4.906728,4.806501,4.805735,4.806545,4.847643,4.857163,4.972267,4.878365,4.701887,4.718133,4.775278,4.731918,4.811519,4.74005,5.118959687,5.401647173,5.406451131,5.03710375,4.990731402,5.198491276,5.334789508,5.12796402,4.734288887,4.489038365,4.934066646,4.704455388,4.600653184,4.970922253,4.79168793,5.133123198,4.643343685,4.959944269
ELAVL1,5.50113,5.419582,5.476083,5.617587,5.796336,5.390481,5.512592,5.698591,5.646667,5.504122,5.80781,5.562068,5.40691,5.565691,5.896603,5.350131,6.128682,6.333909,7.027138,6.459159,5.730743,5.946957,6.607059,7.045572,6.673176,5.771245,6.35818,6.188178,6.071739,6.213955,6.079324,6.648393,6.235555,5.352083426,5.29787201,5.765742239,5.314981272,6.186893515,5.73717456,6.185998841,6.067302232,6.503118259,6.180299769,6.222681519,6.629795663,6.161816178,5.776674487,6.32694359,5.541554263,6.69577257,5.389194108
NDUFA5,5.680838,5.825131,5.894647,5.660608,5.837707,5.87817,5.824138,5.800745,5.727562,5.794806,5.826181,5.878454,6.210872,5.743943,5.906902,6.157689,6.586247,6.259173,6.692945,5.752783,5.950032,5.895553,6.440188,6.639679,6.529465,6.570674,6.869395,6.572165,5.406396,6.630096,6.640801,6.869222,6.647355,5.906848481,5.830715891,5.589325706,5.944611681,6.314178858,5.754567966,5.754477811,5.903471048,6.134275025,6.505908462,6.318900612,6.756843038,6.577529013,6.091852703,6.711603663,6.150320223,6.371155111,5.915064587
E2F3,6.181447,6.577401,6.546462,6.068292,6.478396,6.571747,6.508645,6.06722,6.087851,5.917237,6.547212,6.364377,6.089888,5.801157,5.910192,6.15374,6.949885,6.868447,7.480121,6.911871,6.699108,6.752755,7.003026,7.296739,7.037685,6.445576,7.337809,7.084568,6.16089,7.040666,7.094162,6.901158,7.057541,6.586481161,6.33469737,6.553222379,6.412813037,6.588719261,6.663273682,6.280503857,6.211589931,6.347575625,6.740129744,6.489215373,7.522360299,6.561977706,6.814333907,6.610430516,6.96964115,6.30648205,6.921150744
SASS6,6.367205,5.581222,5.447692,5.931566,5.577219,5.669094,5.7842,5.905838,6.036017,5.531959,5.691393,5.681385,5.552155,5.723004,5.878466,5.258791,6.62561,5.995357,6.188539,6.178074,6.257752,6.5026,5.999192,6.194788,6.135565,6.333429,6.257187,5.946567,6.060867,6.194802,6.161908,5.955838,6.148073,5.753610671,5.792174065,5.664257728,5.503973661,5.703904167,5.750315485,5.984619036,5.93883226,5.924188271,6.65855516,6.268450371,6.363778525,6.346147628,5.8452483,5.848283858,5.71228231,6.355902784,5.902224722
MAPKAPK5,6.66513,6.49826,6.292636,6.478975,6.49048,5.836895,6.29564,6.571084,6.359278,6.327868,6.45003,6.294178,6.235374,6.062718,6.108415,5.793664,6.380869,6.604059,7.507463,7.137777,6.316045,6.661679,6.707059,7.423824,6.765044,6.555119,6.98013,6.658687,6.395825,6.887628,6.794055,6.99292,6.840718,6.472934397,6.421415981,6.364011745,6.137992333,5.987250107,6.081488816,6.368961441,6.358591533,7.02068211,7.231202461,7.006405205,6.889656164,6.823778892,6.33744695,6.961093959,6.266425757,6.770824829,6.56876253
ZCRB1,5.128534,5.13042,4.998021,5.056826,5.050294,5.015658,5.118337,5.0019,5.002815,4.954788,5.038279,5.043763,4.822848,4.858814,5.054193,4.883592,5.371113,5.157219,5.515734,5.309006,5.120875,5.300732,5.194922,5.434942,5.266946,5.157028,5.317066,5.155572,5.181493,5.107753,5.090352,5.152905,5.126782,4.841848271,4.937702379,4.981746241,5.095250103,5.173280431,5.001062887,4.96574802,5.01427818,5.232926026,5.322971216,5.282830716,5.441546902,5.28537486,5.083496061,5.174164249,5.095780351,5.339266305,4.969930236
PFN2,5.328733,5.201295,5.182435,5.030864,5.266623,4.892074,5.087826,5.016296,4.995824,4.844594,5.282639,5.184373,4.804973,5.028447,4.91258,4.757956,5.815854,5.495275,5.610296,5.514353,5.084704,5.634763,5.576904,5.573345,5.564462,5.659856,6.105511,6.064962,5.672317,5.4513,5.587152,5.262388,5.479232,5.010007763,5.136650109,5.242558734,5.005994921,5.395786089,5.211432881,5.247026123,5.165337239,5.403163084,5.495512261,5.554009943,5.564189245,6.180932111,5.06772487,5.205417304,5.093992781,5.94727117,5.068188793
MPV17L,7.112046,7.047201,7.070509,7.646719,7.543988,7.423436,7.036654,7.631008,7.619183,7.348276,7.343466,7.244369,7.230875,6.876184,6.711765,7.532035,5.927334,6.994019,6.727715,5.841129,6.70814,6.765501,7.067407,6.836338,7.098774,6.301981,6.916938,7.015979,6.535435,6.495225,6.559004,6.686713,6.665122,7.22285625,7.645639118,7.222740093,6.627922028,6.718912541,7.211719922,7.592058802,7.465306468,6.680508632,6.566199352,7.011125269,6.674327577,6.881668243,6.745783678,6.676720614,7.034453051,6.300669952,6.957927417
TRA2A,6.421348,6.839196,6.552432,6.536902,6.915278,6.564258,6.843134,6.499255,6.395884,6.569859,6.880595,6.860203,6.26308,6.201707,6.512277,6.797702,7.153637,6.955998,7.475232,7.40653,6.970294,7.065952,7.250316,7.410288,7.248302,6.924223,6.800837,6.586074,6.453586,6.991434,6.754843,6.8987,6.777767,6.403181255,6.279571183,6.383360523,6.823707167,6.596162572,6.461857959,6.544151492,6.708728157,7.162199411,7.454685396,6.725226933,7.220209399,7.060139349,6.881328648,7.287360247,6.689843474,7.034725139,6.888280106
DPP3,6.805383,6.230914,6.754355,6.563652,6.627518,6.436208,6.201152,6.42501,6.446513,5.974444,6.726019,6.633464,6.391457,6.911028,6.990347,7.055542,6.744007,6.836052,6.940147,7.503337,6.987326,7.102663,6.944312,6.9427,6.710654,6.772718,7.094115,6.911828,7.538423,6.688681,7.149889,6.874264,6.734504,6.26261433,6.160364362,6.575033805,6.630340558,6.379291646,6.693593513,6.357917004,6.783625084,7.202160661,7.177001821,7.10969135,7.116774471,6.951125843,6.948703893,6.723948687,6.789424961,7.188468741,6.996035275
CD164L2,7.533055,7.396913,7.713508,7.175679,6.909536,8.199764,6.96859,7.026956,7.042174,7.355775,6.828855,6.770889,7.545508,7.548763,7.666058,8.157834,7.563212,6.948944,6.948762,6.121159,4.959965,5.710265,5.70263,6.828855,7.019521,6.67975,5.453437,6.611262,5.805991,5.92243,6.403987,6.220051,5.86995,7.360262095,7.584623685,6.988665353,6.473349878,7.227493361,7.394531919,6.856238616,7.331562148,6.246893941,6.312979075,6.151650139,6.586093802,6.413202647,6.408397942,6.856805132,6.687084924,6.16947363,7.519511968
PVRL2,7.587144,7.365034,7.258908,7.257488,7.211774,7.399917,7.331169,7.224629,7.333533,7.341821,7.220121,7.162134,7.119978,7.591292,7.768146,7.474244,6.366011,6.764536,6.811529,7.070872,7.180216,7.442908,6.916119,6.938872,6.690308,7.078034,6.274029,7.016738,6.89527,7.195476,7.251411,7.018835,7.156321,7.033249015,7.361854079,7.352132709,7.389591409,7.690082861,7.537599198,7.506810579,7.357234814,6.669380759,6.673570264,6.690478074,6.964516826,6.901782055,7.150425372,7.088646129,7.39186668,6.66801799,7.161663741
CPVL,5.47212,6.610342,6.422218,5.650059,6.598421,6.124341,6.73521,5.7582,5.507739,5.891995,6.608055,6.527927,6.912292,5.428273,5.83548,5.789599,6.830203,7.960066,7.819541,7.463308,7.538737,6.982307,8.057272,7.815146,7.975616,7.259265,7.163889,6.991466,7.148661,7.155215,7.185572,7.098341,7.242723,6.48209722,6.384054595,6.682263476,6.466191023,6.394590635,7.169916798,7.118559649,6.95635255,6.686525392,7.043540296,6.661396574,6.793037712,6.762860098,6.544479995,6.571207845,6.427040453,7.660810244,7.177343949
GABRB1,5.954358,6.2723,6.580071,6.960067,5.844599,7.650284,6.701833,7.126831,6.941874,6.840176,5.695928,5.792989,6.385191,5.820019,4.807863,7.548638,4.912572,5.445305,5.718029,5.761153,4.785008,5.117371,5.348558,5.199016,5.204108,4.859901,4.965905,5.152375,4.752904,5.214551,5.521437,5.076652,5.854456,6.310829641,5.620804229,6.201617281,5.535686384,5.383914002,6.301076818,6.580431747,6.741767849,5.398723326,5.612982949,5.546950756,5.498705573,5.419187797,6.230368044,5.457449677,5.510214586,5.289114316,6.03987263
RSRC1,5.402175,5.536553,5.682838,5.484602,5.27949,5.467729,5.903363,5.374415,5.492593,5.702449,5.175466,5.14816,5.178264,5.183064,5.241232,5.204069,6.733634,6.029686,6.445955,7.020638,5.206505,5.694961,6.248444,6.527445,6.313157,6.233976,6.289636,5.847743,6.672447,6.354842,6.256803,6.013218,6.217783,5.415313815,6.427288985,5.068743601,5.358261473,5.601473592,5.912201295,5.672807042,5.808263375,5.932622506,6.400327566,6.256864131,5.643037635,6.228531976,5.842937129,6.610531985,5.469769302,5.938679491,5.479412098
B3GALNT1,5.596114,5.841007,5.883857,6.146555,5.377184,5.48614,5.910305,6.111178,6.168457,5.790343,5.364677,5.516057,5.906201,5.442781,5.758941,5.323325,6.307069,6.447117,7.045006,6.504681,5.796707,5.549478,6.535565,7.040273,6.483017,6.096652,6.691702,6.370381,5.340422,6.607353,6.688996,6.675716,6.748035,5.581407118,5.828832687,5.858331485,5.758226529,5.635494507,5.697047206,6.07018983,5.593374178,6.295353294,7.121629767,6.651808285,5.707876693,6.482932032,5.842789461,6.578337261,5.905175751,6.442244957,6.376369282
GPR31,6.010907,5.293287,6.106805,5.700748,4.907791,5.708451,6.356269,5.465122,5.723146,6.11251,4.735378,4.928311,5.043875,4.750178,5.497872,5.672999,4.781336,4.803033,4.927302,4.943901,4.837462,4.802707,4.838512,4.797129,5.186212,4.83976,4.848458,4.684319,4.84536,4.992424,5.494895,4.947363,5.217167,5.855961232,5.698347252,5.439715726,5.415722678,5.314402666,5.431641633,6.230903589,5.302188099,4.654521762,4.766972481,5.058948976,5.082241736,4.945175893,4.942805133,5.08661275,5.03132174,4.402217058,5.129275384
LHX9,6.078846,6.399678,6.408125,5.877904,5.572172,6.582162,6.52739,5.891373,5.873953,6.902296,5.302541,5.514551,5.713226,5.665576,5.190678,6.923508,4.838287,4.758923,5.210031,5.598926,4.803463,4.842392,4.770606,4.914319,5.027826,4.949965,5.560137,5.026572,4.699838,5.179358,4.714641,5.312486,4.920276,5.564870828,5.915771704,5.365523334,5.737684884,6.192660306,5.432650368,5.755999386,5.457476645,5.023200337,5.077148217,5.665040008,4.866410723,4.942640204,5.944755344,5.193815251,5.482358374,5.197148849,6.268574998
RPS28,9.18464,9.368568,9.319248,8.611892,8.982131,9.363144,9.359922,8.635078,8.732846,9.308452,8.995823,9.081132,9.065681,9.179149,9.306362,9.35867,9.345772,9.501447,9.533846,9.56757,9.25589,9.247976,9.56757,9.609475,9.592249,9.198612,9.554884,9.400845,9.543216,9.639839,9.543216,9.386596,9.538933,8.76159672,8.828287216,9.182605056,9.299761906,9.497122224,8.98550386,8.954406882,9.180884166,9.511245049,9.701004898,9.520171426,9.717519416,9.574796152,9.306193621,9.476247428,9.329225834,9.486384181,9.122361189
SEC61G,8.248121,8.245534,8.172198,8.165855,7.976681,8.250327,8.317072,8.059031,7.99719,7.909586,7.934772,7.854029,7.709846,8.585984,8.420979,8.248552,8.22116,8.901662,8.744742,8.836645,8.341553,8.088223,8.560503,8.780644,8.590313,8.126255,8.828817,8.531733,8.984265,8.176832,8.33007,8.534859,8.316181,8.033444982,7.949808972,8.052782977,8.044012113,8.125610425,8.094904787,7.965485665,8.079358634,8.668418065,8.732282734,8.516948458,8.953456346,8.828562899,8.204245918,8.644968046,8.067571454,8.743136168,8.234172736
SLC13A5,6.803081,6.813286,7.165248,8.352514,6.081367,7.32552,7.014497,8.334794,8.267163,6.773806,5.83199,5.973534,7.32198,6.572455,6.146425,7.4719,4.756006,6.403879,6.491932,4.807699,5.416332,4.685997,5.560931,6.463617,5.43802,5.879916,4.850232,5.743308,6.042507,4.95526,5.250721,7.923958,5.224024,7.16260257,7.714710272,6.685337223,6.178107629,6.291789756,6.81432253,6.891418806,6.916551187,5.910897032,5.468369953,6.052310364,5.668324179,5.647016386,6.441007079,6.219304741,5.885368308,5.744306484,5.943799257
